word_norm	PerMillion	Zipf
سن	150.258	5.177
بگیرید	150.214	5.177
بزرگترین	150.087	5.176
پرونده	150.066	5.176
زدن	149.723	5.175
رود	149.69	5.175
مهدی	149.629	5.175
نهایی	149.549	5.175
خاصی	149.514	5.175
روزی	148.987	5.173
نهایت	148.007	5.17
شدم	147.891	5.17
پژوهش	147.732	5.169
سامانه	147.627	5.169
صدا	147.622	5.169
مدرسه	147.494	5.169
موسسه	147.415	5.169
پشتیبانی	147.313	5.168
ناشی	147.163	5.168
توافق	147.157	5.168
جنوبی	147.135	5.168
کمیسیون	147.068	5.168
مقدار	146.698	5.166
فرانسه	146.396	5.166
سبز	146.28	5.165
همچنان	146.153	5.165
ارتش	146.005	5.164
چی	145.958	5.164
مو	145.775	5.164
فردی	145.304	5.162
درون	145.279	5.162
معنوی	145.114	5.162
پا	145.051	5.162
چقدر	144.855	5.161
دقت	144.753	5.161
توضیح	144.748	5.161
معروف	144.645	5.16
گسترش	144.572	5.16
مجله	144.512	5.16
طلا	144.31	5.159
آنکه	144.059	5.159
ریال	143.976	5.158
کنه	143.73	5.158
میگیرد	143.547	5.157
کارهای	143.301	5.156
بلاگ	143.241	5.156
ساز	143.224	5.156
آمریکایی	143.064	5.156
گوش	143.047	5.155
نیوز	142.935	5.155
جمعیت	142.424	5.154
میتوانند	142.381	5.153
کاربری	142.298	5.153
تلویزیون	142.241	5.153
باقی	141.759	5.152
گزینه	141.472	5.151
برجام	141.412	5.15
ترتیب	141.372	5.15
حزب	141.3	5.15
پسر	141.072	5.149
هوشمند	140.877	5.149
درمانی	140.768	5.149
آمار	140.514	5.148
ایم	140.498	5.148
آشنا	140.474	5.148
قبول	140.34	5.147
مقالات	140.041	5.146
قبلی	140.004	5.146
ترک	139.535	5.145
تغییرات	139.526	5.145
ارزیابی	139.489	5.145
عبور	139.477	5.145
دعوت	139.407	5.144
کشته	139.003	5.143
کمیته	138.865	5.143
طبقه	138.807	5.142
نیمه	138.613	5.142
حکم	138.528	5.142
نظارت	138.489	5.141
وسیله	138.109	5.14
عصر	137.942	5.14
کشف	137.928	5.14
متوجه	137.908	5.14
اشتراک	137.793	5.139
کانال	137.636	5.139
بشر	137.476	5.138
مقاومت	137.31	5.138
سبب	136.857	5.136
دیدن	136.617	5.136
نقشه	136.592	5.135
شمالی	136.508	5.135
پوشش	136.393	5.135
بصورت	136.303	5.135
جامع	136.216	5.134
روزانه	135.932	5.133
مشتریان	135.837	5.133
